name,city,brand,operator,longitude,latitude
Odeon,Chatham,Odeon,Odeon,0.5315527,51.4009933
East Dulwich Picturehouse,London,Picturehouse Cinemas,,-0.0763148,51.4564721
Vue,Reading,Vue,,-0.9691342,51.4533398
Reel Cinema,Morecambe,REEL Cinemas,,-2.8742915,54.0707824
Cineworld,Wakefield,Cineworld,,-1.505879,53.6770631
The Garden Cinema,London,,,-0.1213592,51.5162299
Odeon,Birmingham,Odeon,,-1.8969126,52.478414
Riverside Studios,,,,-0.2278258,51.4887921
Showcase Cinemas,Coventry,Showcase Cinemas,,-1.4300963,52.4353711
Odeon,Wallsend,Odeon,,-1.49494,55.0128733
Vue,Leeds,Vue,,-1.5818327,53.804436
Savoy,Boston,,,-0.0261103,52.9758798
Vue,,Vue,,-2.226787,53.0095129
Odeon Harrogate,Harrogate,Odeon,,-1.5355926,53.9924396
Odeon Luxe,Sheffield,Odeon,,-1.4653325,53.3806973
Adult World Cinema,Birmingham,,,-1.8979464,52.4766706
The Electric Cinema,Birmingham,,,-1.8986761,52.4765208
Showroom Cinema,,,,-1.4654913,53.3772328
Odeon,Dundee,Odeon,,-2.9236882,56.4800979
IMAX,Glasgow,,,-4.2938249,55.8580408
Odeon,,Odeon,,-1.4818619,51.2037786
Duke of York's Cinema,Brighton,Picturehouse Cinemas,,-0.1383855,50.8339072
Vue Cinema,Norwich,Vue,,1.2961571,52.6266868
Brynamman Public Hall Cinema,,,,-3.8690788,51.8104883
Palace Cinema,Broadstairs,,,1.4440487,51.3593438
The Kinema in the Woods,Woodhall Spa,,,-0.2140105,53.1558234
Phoenix Picturehouse,Oxford,Picturehouse Cinemas,Picturehouse Cinemas Ltd,-1.2667729,51.7602374
Playhouse Cinema,Louth,,,-0.0049555,53.3674775
IMC Enniskillen,,,,-7.6334403,54.352269
Odeon,Taunton,Odeon,,-3.0683269,51.0245092
The Arc Cinema,Nottingham,The Arc,,-1.2008567,53.0369645
The Little Theatre,,Picturehouse Cinemas,,-2.3618282,51.3810332
Commodore Cinema,,,,-4.0835658,52.4172019
Vue Meridian,Leicester,Vue,Vue,-1.1855819,52.6137623
BFI IMAX,London,,British Film Institute,-0.1136286,51.504821
Odeon Swiss Cottage,London,Odeon,,-0.1745752,51.5425352
The Ultimate Picture Palace,Oxford,,The Ultimate Picture Palace,-1.2392396,51.7487867
Cineworld,Llandudno Junction,Cineworld,,-3.8084369,53.2822694
Omniplex Cinema,,,Omniplex,-2.0082559,52.3988306
Tywyn Cinema,Tywyn,,,-4.0847531,52.5881313
Dominion Cinema,Edinburgh,,,-3.2087392,55.9306533
Curzon Community Cinema,Clevedon,Curzon,,-2.8551177,51.4357684
Abbeydale Picture House,,,,-1.4798719,53.3593188
Odeon,Tamworth,Odeon,,-1.6904513,52.632047
Showcase Cinemas,Stockton-on-Tees,Showcase Cinemas,,-1.2723524,54.5605573
Broadway Cinema,Letchworth Garden City,,,-0.2285637,51.9772891
Vue,Sheffield,Vue,,-1.4135253,53.4146181
Vue,Grays,Vue,,0.2807353,51.4879165
Cineworld,Ipswich,Cineworld,,1.1494537,52.0535385
Electric Palace,Harwich,,,1.2888629,51.9465252
Hackney Picturehouse,London,Picturehouse Cinemas,Picturehouse,-0.0549394,51.5448145
The Picture House,,,,-1.9090871,53.8697229
IMC Ballymena,,,,-6.267569,54.8615602
Omniplex Bangor,Bangor,,Omniplex Cinema Group,-5.6635725,54.6549318
Cineworld,Chesterfield,Cineworld,,-1.4224895,53.2283697
BFI Southbank,London,,British Film Institute,-0.1152119,51.5067295
Cineworld,Bury St Edmunds,Cineworld,,0.7061737,52.2453725
Cineworld,Aberdeen,Cineworld,,-2.0791221,57.150108
Reel,,,,-2.723302,53.3624648
Ritz,Thirsk,,,-1.343929,54.2311372
Cineworld Bentley Bridge,Wolverhampton,Cineworld,,-2.0930622,52.5963055
Everyman Cinema,Stratford-upon-Avon,Everyman Cinemas,,-1.7086108,52.1920639
Cineworld,,Cineworld,,-1.4859944,51.7879548
Vue,Barrow-In-Furness,Vue,,-3.2396667,54.115011
Everyman,Winchester,Everyman Cinemas,,-1.3186204,51.0607071
Vue,Thornton-Cleveleys,Vue,,-3.0466486,53.8818428
Greenwich Picturehouse,London,Picturehouse Cinemas,,-0.0096892,51.479446
The Rio,,,,0.8152738,51.6271526
Palace Cinema,Devizes,,,-1.9967305,51.353475
Cineworld,Harlow,Cineworld,,0.1093751,51.7847826
Vue Cinema Swindon,,Vue,,-1.7567934,51.5716836
Cineworld,Cheltenham,Cineworld,,-2.0758506,51.903127
Odeon Luxe Acton,London,Odeon,,-0.2813633,51.5257594
Regal Movieplex,cromer,,,1.3004932,52.9307691
Majestic Cinema,King's Lynn,,,0.397295,52.7529161
Odeon,Cardiff,Odeon,,-3.1642245,51.4666573
Reel Cinema,,REEL Cinemas,Reel,-2.1207798,51.4618772
Vue,Hartlepool,Vue,,-1.2074003,54.6872913
Cinema City,Norwich,Picturehouse Cinemas,Picturehouse,1.2961821,52.6302494
Roxy Cinema,,,,-3.0935162,54.1947576
Union Films,Southampton,,,-1.3974386,50.9341145
The Savoy Cinema,Stockport,,,-2.1881329,53.4184909
20th Century Flicks Video Shop,Bristol,,,-2.5967294,51.4561455
Vue Cinema,Leamington Spa,Vue,Vue,-1.538603,52.2888028
White River Cinema,,,,-4.7948318,50.3376527
Odeon Luxe Leicester Square,London,Odeon,,-0.12911,51.5105005
Prince Charles Cinema,London,,,-0.1301247,51.5114935
Cineworld Boldon,Boldon Colliery,Cineworld,,-1.4652773,54.9473154
Electric Palace Picture House,,,,-2.0288799,52.6874842
Odeon,,Odeon,,-1.4787863,52.4956727
Odeon,,Odeon,,-1.1186088,51.2655295
Cineworld,Basildon,Cineworld,,0.4625814,51.5854899
Vue Cinema Cramlington,Cramlington,,Vue Entertainment,-1.5874782,55.0841396
Cineworld,Aldershot,Cineworld,,-0.7684625,51.2499685
Movie House,,,,-5.9268622,54.6085307
Cineworld,Newcastle upon Tyne,Cineworld,,-1.6181898,54.9724386
,,,,-6.1950276,54.7215793
4D Theatre,,,,-3.520499,50.4829221
Everyman,,Everyman Cinemas,,-0.1789879,51.5563508
Exeter Picture House,Exeter,Picturehouse Cinemas,,-3.5362724,50.7207583
Cottage Road Cinema,Leeds,,,-1.5817271,53.8269682
Reel Cinemas,,,,-2.0141104,52.4625982
Odeon,,Odeon,,-2.4434264,53.095946
Parkway Cinema,Cleethorpes,,,-0.0150038,53.5467038
Vue,Edinburgh,Vue,,-3.1859008,55.9562622
Cineworld,,Cineworld,,-1.4137903,53.4026222
Perth Playhouse,Perth,,,-3.433606,56.3980159
Everyman,London,Everyman Cinemas,,-0.1817063,51.5280256
Metro Cinema,,,,-0.3324561,51.5865654
Vue Cinema,,Vue,,-0.338995,51.5815021
Picturedrome Cinema,Bognor Regis,,,-0.6771881,50.7862513
Odeon IMAX,London,Odeon,,0.0127847,51.4906
Palace Cinema,Great Yarmouth,,,1.7277826,52.5797328
Lion Cove 3D Cinema,,,,-0.5996183,51.9986585
Odeon,,Odeon,,-2.1928966,53.0250882
DITG Theatre,"Chicksands, Shefford",,,-0.3586789,52.0418751
Dundonald Omniplex,Belfast,,Omniplex Cinema Group,-5.8236228,54.5888221
Rio Cinema,London,,,-0.0755756,51.5496481
Cineworld,Yeovil,Cineworld,,-2.6253931,50.9403924
The Ritz,,,,-7.6306863,54.3451025
Regal,Stowmarket,,Stowmarket Town Council,0.998721,52.1850882
Northern Light Cinema,Matlock,,,-1.5715483,53.0833253
Vue,,Vue,,-1.3229568,51.3992803
Scott Cinemas,Sidmouth,Scott Cinemas,,-3.2389259,50.6827721
Vue,,Vue,,-3.0234672,53.3930356
Savoy,,,,-1.1236423,53.3013411
Cineworld,Manchester,Cineworld,,-2.2188389,53.4096757
Movie House Cinemas,Glengormley,,,-5.9570269,54.6689259
Alexandra Cinema,Newton Abbot,Scott Cinemas,Scott Cinemas,-3.6118999,50.530855
Vue Cinema Oxford,Oxford,Vue,Vue,-1.2109568,51.7175719
Kino,Rye,,,0.7333604,50.950357
Vue,Cardiff,Vue,,-3.1815277,51.4769808
Cineworld,Cardiff,Cineworld,,-3.173075,51.4789084
The Ritzy,London,Picturehouse Cinemas,,-0.1149611,51.46115
Vue Torbay,Paignton,Vue,,-3.5598347,50.4353536
Clapham Picturehouse,London,Picturehouse Cinemas,,-0.1381521,51.4625014
The Picture House,,,,-1.8292726,54.311622
Gulbenkian Cinema,,,,1.0692569,51.2984513
Ritz Multiplex,,,,-6.746196,54.6465569
Odeon,Bromborough,Odeon,,-2.9743394,53.341086
Silver Screen Cinema,,,,1.1809453,51.0800484
Craigavon Omniplex,Craigavon,Omniplex,,-6.39767,54.4492481
Woodside Drive-In,,,,-3.0116349,53.3939077
The Picture House,Campbeltown,,,-5.6033423,55.4239168
,,,,-7.3301799,54.6112314
Cineworld,,Cineworld,,-1.8315846,51.5607515
Cineworld,Birmingham,Cineworld,Cineworld,-1.9156503,52.4741686
Odeon,,Odeon,,-3.5745778,51.532371
Vue,Staines-upon-Thames,Vue,,-0.5136433,51.4342658
Everyman,,Everyman Cinemas,,-1.7949207,51.0706443
The Venue,Lincoln,,,-0.5357209,53.2440996
Omniplex Cinema Sutton,,,,-0.1953102,51.3647655
Neuadd Buddug,,,,-3.6007932,52.9088444
Vue,Worcester,Vue,,-2.2181429,52.1889107
Odeon,Worcester,Odeon,,-2.2225262,52.1952435
Scala,Ilkeston,REEL Cinemas,Reel Cinemas,-1.3099395,52.9713256
The Orpheus Cinema,Bristol,,Scott Cinemas,-2.6123689,51.4805125
The Oxford Cinema & Café,Oxford,,,-1.2597308,51.754667
Cineworld,Burton-on-Trent,Cineworld,,-1.6318744,52.8049735
Penistone Paramount Cinema,Sheffield,,,-1.6281173,53.5254366
Electric Picture House,Wotton-under-Edge,,,-2.3538257,51.6368509
Everyman,Bristol,Everyman Cinemas,,-2.6096179,51.4629934
Scala,Prestatyn,,,-3.4046326,53.3354501
Alhambra Cinema,Keswick,,,-3.1353351,54.5995997
Everyman Cinema Oxted,,,Everyman,-0.0062209,51.2573854
Loewen Cinema,,,,0.2562881,53.3497365
Regal Cinema,Redruth,,,-5.2295994,50.2330317
The Flavel,,,,-3.5792122,50.3519969
Cineworld,Huntingdon,Cineworld,,-0.1796324,52.350958
Regal Cinema,Henley-on-Thames,Picturehouse Cinemas,,-0.9050418,51.5391685
Limelight Cinema,,,,-2.0767305,52.5232546
Carlton Cinema,Westgate-on-Sea,,,1.3363947,51.3820686
Queens Film Theatre,Belfast,,,-5.9339518,54.5854753
Curzon Bloomsbury,London,Curzon,,-0.123147,51.5240631
Odeon,,Odeon,,-1.7946237,51.068101
Curzon Cinema,Colchester,,Corinthian Curzon (Colchester) Ltd,0.9045051,51.8891002
Scott Cinemas Exmouth,Exmouth,Scott Cinemas,Scott Cinemas,-3.4135836,50.6198464
Showcase Cinema de Lux,Leicester,Showcase Cinemas,,-1.1386573,52.6366155
Lighthouse Cinema,,,,-5.0873384,50.4136279
Wyeside,Builth Wells,,,-3.4002782,52.1501331
Vue,,Vue,,-4.0313221,55.7771884
The Empire Cinema,Sandwich,,,1.3381838,51.275481
Phoenix Cinema,,,,-0.1637085,51.5885079
David Lean Cinema,Croydon,,,-0.0990117,51.3721316
Vue,Croydon,Vue,,-0.1009089,51.372906
Odeon Cinema,Beckenham,Odeon,,-0.0316159,51.4070192
Cineworld,Bradford,Cineworld,,-1.7477802,53.7914277
Showcase Cinemas,Liverpool,Showcase Cinemas,,-2.9135544,53.4567756
Palace Cinema,Haverfordwest,,Independent,-4.9708298,51.7999181
Star And Shadow Cinema,Newcastle upon Tyne,,,-1.5951861,54.979414
Vue,Castleford,Vue,,-1.3416759,53.7102179
Vue Islington,,Vue,,-0.1058269,51.5343822
The Palace,,,,-2.6000477,53.8294916
ODEON Manchester Great Northern,Manchester,Odeon,,-2.2496636,53.476409
Vue,Bristol,Vue,,-2.6046599,51.5233236
Odeon Luxe Birmingham Broadway Plaza,Birmingham,Odeon,Odeon,-1.921653,52.4735521
Odeon,Mansfield,Odeon,,-1.2009707,53.1349987
Odeon,,Odeon,,-2.9650229,53.4869987
Regent,,,,-2.061823,53.3947163
Vue,Stirling,Vue,,-3.9305998,56.1181157
Parkway,Barnsley,,,-1.4792644,53.5539543
Hyde Park Picture House,Leeds,,,-1.5694223,53.812068
The Hippodrome,Bo'Ness,,Falkirk Community Trust,-3.6082142,56.0175395
Odeon,Kilmarnock,Odeon,,-4.4912757,55.6023278
,,,,-4.1410946,55.0752734
Tyneside Cinema,Newcastle upon Tyne,,,-1.6122541,54.9739031
